"id","NAME","POS","TEAM","ADP","OVERALL","POSITION"
"b079ce97-bdb3-4e94-b739-e7ba71472c39","Jordan Mason","RB","MIN","97.1","132","RB41"
"a84c94e2-eaef-4db4-b83d-08c6c6156581","Khalil Shakir","WR","BUF","131.1","133","WR56"
"4d3349f4-94a4-4d53-bdcb-8d754c37a315","Juwan Johnson","TE","NO","142.1","134","TE16"
"233c11ab-0b40-42d2-9e1c-57b9df68969d","Sam Darnold","QB","SEA","142.7","135","QB22"
"e950f611-f934-488d-ad6a-3fac1c89a3f2","Rashid Shaheed","WR","SEA","134.6","136","WR57"
"5b54e335-28d1-4a11-bca1-3fe22ed959e3","Keaton Mitchell","RB","LAC","130.2","137","RB42"
"e08333f4-72da-4d6b-8a4a-7258093eda3c","C.J. Stroud","QB","HST","147.2","138","QB23"
"f9b4b51b-3d0e-47b6-bbc4-d73ed3340f82","Daniel Jones","QB","IND","145.0","139","QB24"
"2a6806b0-2be1-47bc-9adc-84f7348bdf22","Keenan Allen","WR","IND","155.6","140","WR58"
"5d942e20-efde-4e9b-b4be-8112da68037a","Denzel Boston","WR","CLV","141.7","141","WR59"
"f8a8ab57-e237-4732-830d-7e0d5edd2620","Brenton Strange","TE","JAX","151.3","142","TE17"
"5387ce75-723a-46f8-a393-b0bd2207291c","Tre Tucker","WR","LV","151.5","143","WR60"
"a0dcb808-0e55-4c54-b3cb-7e7cf245840b","Chris Rodriguez Jr.","RB","JAX","123.6","144","RB43"
"aa36686a-7005-49d2-8db8-2ccbe6e483e0","Hunter Henry","TE","NE","154.5","145","TE18"
"9f843748-952c-4e26-b336-d35a73a18c2e","Chig Okonkwo","TE","WAS","148.3","146","TE19"
"9abe9b0f-ac15-496a-9fe6-8e2936d122c1","Tyler Allgeier","RB","ARZ","140.0","147","RB44"
"d8e5727e-53e4-4983-80a8-d9348f58c050","MarShawn Lloyd","RB","GB","148.6","148","RB45"
"9fd3effd-2d57-43d1-9da9-118e0aa3689b","Dalton Schultz","TE","HST","161.9","149","TE20"
"92537de5-d0be-45ec-b8ad-bf0ee3ddce60","Jalen McMillan","WR","TB","158.3","150","WR61"
"5df1a513-165c-4a68-8430-397522553e27","Dontayvion Wicks","WR","PHI","160.6","151","WR62"
"3f365df5-b74c-451c-a67d-e3ad460752aa","Woody Marks","RB","HST","137.0","152","RB46"
"5a5bfcaa-e87c-4ace-8f2c-5c494dd7950e","Mike Washington Jr.","RB","LV","143.0","153","RB47"
"05a6881d-5311-49a0-be02-83b85e831b2b","Tyjae Spears","RB","TEN","156.3","154","RB48"
"e77fc2ba-9f10-418d-8133-14b993d3f59e","Jonah Coleman","RB","DEN","143.6","155","RB49"
"e351f43e-e09b-4509-be8b-9bfa83d46ad7","Ryan Flournoy","WR","DAL","169.8","156","WR63"
"38bdcde6-0f06-4c83-8e57-6a1d562e57b2","Jalen Nailor","WR","LV","151.3","157","WR64"
"7d34e47d-044c-4a44-90b4-d1ce54549cea","T.J. Hockenson","TE","MIN","169.2","158","TE21"
"0f66297e-c3ab-4840-9cea-c73def0f5ab4","Cam Ward","QB","TEN","158.6","159","QB25"
"6b6c0fe5-926b-4c07-869e-932beca840ba","Adonai Mitchell","WR","NYJ","170.2","160","WR65"
"eb6be1fa-c875-4300-87e2-7809671a5a00","Zach Charbonnet","RB","SEA","163.3","161","RB50"
"625be843-9bf8-4602-9029-a88e52b084bd","Terrance Ferguson","TE","LA","158.7","162","TE22"
"da4bbb87-fe7f-4d65-9cbe-c3085d2cbfc1","Dylan Sampson","RB","CLV","170.7","163","RB51"
"0c7ec0aa-bc36-49d5-a402-0cb26a244803","AJ Barner","TE","SEA","175.6","164","TE23"
"748b1bde-0acf-4e4d-bc1d-a634c3188c20","Ja'Kobi Lane","WR","BLT","151.8","165","WR66"
"2555530d-7eab-464c-94f3-15444cc81b0d","Caleb Douglas","WR","MIA","179.6","166","WR67"
"84d2c2de-8b5a-41cd-a571-aa7aafcfbc06","Bryce Young","QB","CAR","166.2","167","QB26"
"d53f8a01-f0d6-441b-b85a-d69b2095642d","Tre Harris","WR","LAC","161.5","168","WR68"
"8346d01a-e5c5-46c8-bb8d-90e142e9926c","Tyrone Tracy Jr.","RB","NYG","154.4","169","RB52"
"a59c3f47-ac4f-4bbc-8ea0-4b0afe04b9dc","Kenyon Sadiq","TE","NYJ","181.0","170","TE24"
"9ad5fbe4-e29b-4c36-a7cb-9309acf60abe","Tank Bigsby","RB","PHI","152.4","171","RB53"
"2b915546-701a-43ba-83b8-14b637feaff5","Tank Dell","WR","HST","181.4","172","WR69"
"807899c2-41e6-4f82-9091-0d34be8ab610","Jauan Jennings","WR","MIN","173.1","173","WR70"
"d11c4534-5691-488e-910d-7707c6c12e44","Geno Smith","QB","NYJ","190.8","174","QB27"
"df9c6e16-ff33-446a-8c7c-7635a409155d","Devaughn Vele","WR","NO","188.0","175","WR71"
"578083fd-28b7-4f25-9ab5-76dac063ab44","Kayshon Boutte","WR","HST","184.8","176","WR72"
"602683fa-4f9e-44ce-b92d-44dcca9ca2a4","Brian Robinson","RB","ATL","185.4","177","RB54"
"86e4ae73-0fb9-4cbe-a457-71f3f7ea2a22","Travis Hunter","WR","JAX","159.3","178","WR73"
"268e4c6c-716d-467c-856a-1297e1c743cf","Cade Otton","TE","TB","193.5","179","TE25"
"05501245-ba7a-4aaa-893b-f4478a2921fd","Cyrus Allen","WR","KC","163.7","180","WR74"
